configuration_id,total_energy_eV,converged,used_in_fit,notes
0,-380.050490080000,true,true,
1,-379.985276230000,true,true,
2,-379.976550550000,true,true,
3,-379.993830720000,true,true,
4,-380.002057310000,true,true,
5,-380.003018480000,true,true,
6,-380.010825960000,true,true,
7,-380.010877700000,true,true,
8,-380.011030730000,true,true,
9,-380.011910620000,true,true,
10,-380.027567870000,true,true,
11,-379.969149440000,true,true,
12,-379.995506280000,true,true,
13,-380.003121100000,true,true,
14,-380.003684310000,true,true,
15,-380.003207720000,true,true,
16,-380.003474920000,true,true,
17,-380.003388090000,true,true,
18,-380.011265520000,true,true,
19,-380.011606560000,true,true,
20,-380.011797540000,true,true,
21,-380.011879900000,true,true,
22,-380.012020940000,true,true,
23,-380.011592590000,true,true,
24,-380.012053410000,true,true,
25,-380.019981540000,true,true,
26,-380.019971630000,true,true,
27,-380.036031010000,true,true,
28,-379.995510500000,true,true,
29,-379.995271900000,true,true,
30,-380.011014460000,true,true,
31,-380.026384040000,true,true,
32,-380.051147030000,true,true,
33,-379.968826610000,true,true,
34,-380.003127480000,true,true,
35,-380.011686720000,true,true,
36,-380.004459860000,true,true,
37,-379.987093930000,true,true,
38,-379.986672360000,true,true,
39,-379.994095330000,true,true,
40,-379.994829750000,true,true,
41,-380.003385670000,true,true,
42,-380.004135440000,true,true,
43,-380.011545210000,true,true,
44,-380.012018830000,true,true,
45,-380.019417150000,true,true,
46,-380.019892480000,true,true,
47,-380.019738530000,true,true,
48,-380.020107850000,true,true,
49,-380.020462200000,true,true,
50,-380.026954360000,true,true,
51,-380.037038920000,true,true,
52,-379.995164170000,true,true,
53,-380.003854070000,true,true,
54,-380.004146970000,true,true,
55,-380.003996000000,true,true,
56,-380.004459440000,true,true,
57,-380.010998410000,true,true,
58,-380.012716850000,true,true,
59,-380.012525050000,true,true,
60,-379.951401910000,true,true,
61,-380.003101980000,true,true,
62,-380.011306990000,true,true,
63,-379.977439810000,true,true,
64,-379.994119820000,true,true,
65,-380.002259080000,true,true,
66,-380.009100940000,true,true,
67,-380.010674750000,true,true,
68,-380.010901410000,true,true,
69,-380.019314610000,true,true,
70,-380.050757070000,true,true,
71,-380.066495920000,true,true,
72,-380.011752340000,true,true,
73,-379.960540560000,true,true,
74,-379.976970440000,true,true,
75,-379.984771180000,true,true,
76,-379.985961250000,true,true,
77,-379.985566880000,true,true,
78,-379.986352450000,true,true,
79,-379.992874690000,true,true,
80,-379.993909760000,true,true,
81,-379.994239000000,true,true,
82,-379.994110560000,true,true,
83,-379.995294800000,true,true,
84,-380.001460350000,true,true,
85,-380.001991010000,true,true,
86,-380.003577720000,true,true,
87,-380.011424030000,true,true,
88,-380.011827160000,true,true,
89,-380.011452520000,true,true,
90,-380.019179310000,true,true,
91,-380.019388730000,true,true,
92,-380.019363230000,true,true,
93,-380.026952670000,true,true,
94,-380.027742780000,true,true,
95,-380.027482380000,true,true,
96,-380.027762280000,true,true,
97,-380.027314000000,true,true,
98,-380.035574980000,true,true,
99,-379.969953710000,true,true,
100,-380.035467380000,true,true,
101,-379.986843270000,true,true,
102,-379.994555280000,true,true,
103,-379.994653530000,true,true,
104,-379.995099050000,true,true,
105,-379.995044140000,true,true,
106,-379.994802900000,true,true,
107,-380.003333200000,true,true,
108,-380.003360120000,true,true,
109,-380.003715200000,true,true,
110,-380.011612830000,true,true,
111,-380.011741230000,true,true,
112,-380.011643250000,true,true,
113,-380.012225270000,true,true,
114,-380.012024110000,true,true,
115,-380.011875810000,true,true,
116,-380.012005840000,true,true,
117,-380.011896900000,true,true,
118,-380.019625890000,true,true,
119,-380.019755210000,true,true,
120,-380.009493310000,true,true,
121,-380.066435190000,true,true,
122,-379.993345560000,true,true,
123,-379.993872000000,true,true,
124,-379.994180940000,true,true,
125,-380.010599020000,true,true,
126,-380.011049440000,true,true,
127,-380.010799370000,true,true,
128,-380.010875300000,true,true,
129,-380.027191310000,true,true,
130,-380.035343160000,true,true,
131,-380.058289250000,true,true,
132,-380.058994620000,true,true,
133,-379.960551710000,true,true,
134,-380.010241720000,true,true,
135,-379.985725020000,true,true,
136,-379.986716690000,true,true,
137,-379.986262430000,true,true,
138,-379.986160570000,true,true,
139,-379.994193830000,true,true,
140,-379.994315460000,true,true,
141,-379.994567140000,true,true,
142,-379.994695350000,true,true,
143,-379.994692450000,true,true,
144,-379.994573390000,true,true,
145,-380.002393370000,true,true,
146,-380.003001910000,true,true,
147,-380.003138310000,true,true,
148,-380.002882880000,true,true,
149,-380.003449920000,true,true,
150,-380.003274900000,true,true,
151,-380.004032850000,true,true,
152,-380.009837650000,true,true,
153,-380.010464580000,true,true,
154,-380.010626590000,true,true,
155,-380.011166150000,true,true,
156,-380.011201720000,true,true,
157,-380.011153890000,true,true,
158,-380.011345100000,true,true,
159,-380.011571620000,true,true,
160,-380.011711640000,true,true,
161,-380.011317680000,true,true,
162,-380.011539040000,true,true,
163,-380.011480250000,true,true,
164,-380.011050400000,true,true,
165,-380.018570350000,true,true,
166,-380.019555160000,true,true,
167,-380.019546880000,true,true,
168,-380.027466680000,true,true,
169,-380.027762070000,true,true,
170,-380.027956710000,true,true,
171,-380.028569170000,true,true,
172,-380.028377220000,true,true,
173,-380.027548080000,true,true,
174,-380.035183600000,true,true,
175,-380.036015750000,true,true,
176,-380.042852400000,true,true,
177,-380.042571200000,true,true,
178,-380.051427160000,true,true,
179,-380.051119900000,true,true,
180,-379.961097250000,true,true,
181,-379.960945660000,true,true,
182,-379.978145160000,true,true,
183,-379.977937630000,true,true,
184,-379.977741810000,true,true,
185,-379.977992470000,true,true,
186,-379.978840670000,true,true,
187,-379.986985510000,true,true,
188,-379.987009230000,true,true,
189,-379.994300240000,true,true,
190,-379.993975970000,true,true,
191,-379.994101710000,true,true,
192,-379.994243200000,true,true,
193,-379.994687480000,true,true,
194,-379.995248460000,true,true,
195,-379.995200760000,true,true,
196,-379.995346960000,true,true,
197,-380.002097780000,true,true,
198,-380.002976990000,true,true,
199,-380.003666810000,true,true,
200,-380.003075080000,true,true,
201,-380.003862600000,true,true,
202,-380.010987620000,true,true,
203,-380.011058080000,true,true,
204,-380.011371090000,true,true,
205,-380.012346730000,true,true,
206,-380.012043080000,true,true,
207,-380.011704530000,true,true,
208,-380.012232500000,true,true,
209,-380.012183740000,true,true,
210,-380.011980310000,true,true,
211,-380.012195200000,true,true,
212,-380.011976560000,true,true,
213,-380.012017570000,true,true,
214,-380.012410180000,true,true,
215,-380.019145400000,true,true,
216,-380.020438310000,true,true,
217,-380.020326460000,true,true,
218,-380.019518980000,true,true,
219,-380.019972170000,true,true,
220,-380.020281580000,true,true,
221,-380.020425380000,true,true,
222,-380.020042640000,true,true,
223,-380.020126410000,true,true,
224,-380.019863560000,true,true,
225,-380.019380880000,true,true,
226,-380.020341050000,true,true,
227,-380.020498770000,true,true,
228,-380.027210140000,true,true,
229,-380.027795180000,true,true,
230,-380.027947420000,true,true,
231,-380.027448790000,true,true,
232,-380.028817000000,true,true,
233,-380.028266260000,true,true,
234,-380.028561300000,true,true,
235,-380.035976800000,true,true,
236,-380.036254250000,true,true,
237,-380.036154980000,true,true,
238,-380.036596520000,true,true,
239,-380.037153110000,true,true,
