configuration_id,total_energy_eV,converged,used_in_fit,notes
0,-534.213094260000,true,true,
1,-534.220602390000,true,true,
2,-534.246565240000,true,true,
3,-534.245980010000,true,true,
4,-534.288020510000,true,true,
5,-534.257631020000,true,true,
6,-534.258852240000,true,true,
7,-534.258767150000,true,true,
8,-534.239395630000,true,true,
9,-534.259954120000,true,true,
10,-534.276724720000,true,true,
11,-534.208601950000,true,true,
12,-534.228814250000,true,true,
13,-534.248056670000,true,true,
14,-534.238559990000,true,true,
15,-534.239296460000,true,true,
16,-534.209892310000,true,true,
17,-534.257699620000,true,true,
18,-534.289162360000,true,true,
19,-534.267858580000,true,true,
20,-534.229507420000,true,true,
21,-534.210731640000,true,true,
22,-534.249200730000,true,true,
23,-534.258499470000,true,true,
24,-534.231041000000,true,true,
25,-534.217328810000,true,true,
26,-534.240030550000,true,true,
27,-534.221249030000,true,true,
28,-534.247874910000,true,true,
29,-534.259415570000,true,true,
30,-534.267466040000,true,true,
31,-534.270091050000,true,true,
32,-534.187494370000,true,true,
33,-534.294070760000,true,true,
34,-534.239416860000,true,true,
35,-534.267353240000,true,true,
36,-534.230641520000,true,true,
37,-534.256983480000,true,true,
38,-534.258271140000,true,true,
39,-534.265946610000,true,true,
40,-534.202715860000,true,true,
41,-534.207310900000,true,true,
42,-534.258378400000,true,true,
43,-534.230077700000,true,true,
44,-534.259263470000,true,true,
45,-534.211171240000,true,true,
46,-534.228016750000,true,true,
47,-534.238418850000,true,true,
48,-534.248487930000,true,true,
49,-534.247817020000,true,true,
50,-534.189255240000,true,true,
51,-534.238161050000,true,true,
52,-534.228249170000,true,true,
53,-534.230089230000,true,true,
54,-534.266719020000,true,true,
55,-534.250483850000,true,true,
56,-534.255291870000,true,true,
57,-534.267608460000,true,true,
58,-534.258416950000,true,true,
59,-534.276711210000,true,true,
60,-534.260985150000,true,true,
61,-534.220518550000,true,true,
62,-534.230859460000,true,true,
63,-534.210832070000,true,true,
64,-534.258472820000,true,true,
65,-534.219252200000,true,true,
66,-534.218499520000,true,true,
67,-534.251358570000,true,true,
68,-534.266868020000,true,true,
69,-534.265274600000,true,true,
70,-534.230494480000,true,true,
71,-534.250164730000,true,true,
72,-534.240338880000,true,true,
73,-534.218719420000,true,true,
74,-534.251730020000,true,true,
75,-534.268686120000,true,true,
76,-534.217806440000,true,true,
77,-534.230630870000,true,true,
78,-534.259573500000,true,true,
79,-534.237801350000,true,true,
80,-534.218215690000,true,true,
81,-534.239209390000,true,true,
82,-534.251692620000,true,true,
83,-534.299956440000,true,true,
84,-534.210488130000,true,true,
85,-534.201951270000,true,true,
86,-534.228566710000,true,true,
87,-534.188475280000,true,true,
88,-534.268086320000,true,true,
89,-534.220915930000,true,true,
90,-534.235529590000,true,true,
91,-534.239663640000,true,true,
92,-534.209069760000,true,true,
93,-534.265585680000,true,true,
94,-534.230425750000,true,true,
95,-530.065441000000,false,false,electronic SCF not converged
96,-534.220513510000,true,true,
97,-534.248946070000,true,true,
98,-534.278670360000,true,true,
99,-534.191074490000,true,true,
100,-534.248622440000,true,true,
101,-534.260620820000,true,true,
102,-534.258472800000,true,true,
103,-534.283863850000,true,true,
104,-534.239831520000,true,true,
105,-534.276148410000,true,true,
106,-534.259180990000,true,true,
107,-534.236763620000,true,true,
108,-534.218609980000,true,true,
109,-534.238395150000,true,true,
110,-534.260539970000,true,true,
111,-534.226841710000,true,true,
112,-534.228558370000,true,true,
113,-530.051922890000,false,false,electronic SCF not converged
114,-534.238885990000,true,true,
115,-534.208232670000,true,true,
116,-534.241597780000,true,true,
117,-534.248861910000,true,true,
118,-534.257682290000,true,true,
119,-534.274275070000,true,true,
120,-534.217297800000,true,true,
121,-534.209688380000,true,true,
122,-534.248814620000,true,true,
123,-534.248601680000,true,true,
124,-534.258636720000,true,true,
125,-534.219496740000,true,true,
126,-534.191239140000,true,true,
127,-534.227767410000,true,true,
128,-534.178289030000,true,true,
129,-534.207210640000,true,true,
130,-534.259133350000,true,true,
131,-534.249372070000,true,true,
132,-534.229904510000,true,true,
133,-534.230342360000,true,true,
134,-534.208656870000,true,true,
135,-534.200984990000,true,true,
136,-534.200215260000,true,true,
137,-534.219397280000,true,true,
138,-534.273318510000,true,true,
139,-534.200709550000,true,true,
140,-534.211483260000,true,true,
141,-534.228572330000,true,true,
142,-534.219400970000,true,true,
143,-534.249301220000,true,true,
144,-534.261111080000,true,true,
145,-534.218921140000,true,true,
146,-534.264839630000,true,true,
147,-534.294916170000,true,true,
148,-534.238713050000,true,true,
149,-534.230124230000,true,true,
150,-534.250271470000,true,true,
151,-534.220777860000,true,true,
152,-534.259364100000,true,true,
153,-534.239569000000,true,true,
154,-534.259012860000,true,true,
155,-534.294429350000,true,true,
156,-534.190849350000,true,true,
157,-534.237832500000,true,true,
158,-534.230694310000,false,false,electronic SCF not converged
159,-534.257183670000,true,true,
160,-534.220243300000,true,true,
161,-534.240103060000,true,true,
162,-534.237419450000,true,true,
163,-534.211368190000,true,true,
164,-534.227662920000,true,true,
165,-534.229305760000,true,true,
166,-534.248942490000,true,true,
167,-534.257337980000,true,true,
168,-534.237792410000,true,true,
169,-534.210828300000,true,true,
170,-534.220955950000,true,true,
171,-534.247364030000,true,true,
172,-534.229910120000,true,true,
173,-534.212376020000,true,true,
174,-534.240154540000,true,true,
175,-534.239807910000,true,true,
176,-534.239188720000,true,true,
177,-534.247666720000,true,true,
178,-534.227136470000,true,true,
179,-534.198315410000,true,true,
180,-534.248738430000,true,true,
181,-534.229382820000,true,true,
182,-534.226942110000,true,true,
183,-534.232097040000,true,true,
184,-534.275228690000,true,true,
185,-534.249026450000,true,true,
186,-534.221876580000,true,true,
187,-534.250315370000,true,true,
188,-534.229192810000,true,true,
189,-534.187911030000,true,true,
190,-534.183251440000,true,true,
191,-534.233678430000,true,true,
192,-534.228930960000,true,true,
193,-534.236290220000,true,true,
194,-534.247181000000,true,true,
195,-534.227846580000,true,true,
196,-534.250077950000,true,true,
197,-534.248845710000,true,true,
198,-534.276934590000,true,true,
199,-512.220027210000,false,false,electronic SCF not converged
200,-534.249244750000,true,true,
201,-534.247534580000,true,true,
202,-534.200764950000,true,true,
203,-534.211291530000,true,true,
204,-534.209001490000,true,true,
205,-534.286943260000,true,true,
206,-534.226956870000,true,true,
207,-534.219856690000,true,true,
208,-534.257578090000,true,true,
209,-534.237424400000,true,true,
210,-534.229530530000,true,true,
211,-534.207738230000,true,true,
212,-534.260142590000,true,true,
213,-534.250166020000,true,true,
214,-534.258569090000,true,true,
215,-534.250052790000,true,true,
